2023/08/07 05:46:14 [error] 65609#0: *13573 [lua] share_dict.lua:85:  counter: 580, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13632 [lua] share_dict.lua:85:  counter: 639, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13633 [lua] share_dict.lua:85:  counter: 640, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13634 [lua] share_dict.lua:85:  counter: 641, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13635 [lua] share_dict.lua:85:  counter: 642, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13636 [lua] share_dict.lua:85:  counter: 643, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13637 [lua] share_dict.lua:85:  counter: 644, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13638 [lua] share_dict.lua:85:  counter: 645, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13639 [lua] share_dict.lua:85:  counter: 646, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13640 [lua] share_dict.lua:85:  counter: 647, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13641 [lua] share_dict.lua:85:  counter: 648, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13642 [lua] share_dict.lua:85:  counter: 649, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13643 [lua] share_dict.lua:85:  counter: 650, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13644 [lua] share_dict.lua:85:  counter: 651, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13645 [lua] share_dict.lua:85:  counter: 652, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13646 [lua] share_dict.lua:85:  counter: 653, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13647 [lua] share_dict.lua:85:  counter: 654, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13648 [lua] share_dict.lua:85:  counter: 655, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13649 [lua] share_dict.lua:85:  counter: 656, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13650 [lua] share_dict.lua:85:  counter: 657, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13651 [lua] share_dict.lua:85:  counter: 658, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13652 [lua] share_dict.lua:85:  counter: 659, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13653 [lua] share_dict.lua:85:  counter: 660, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13654 [lua] share_dict.lua:85:  counter: 661, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13655 [lua] share_dict.lua:85:  counter: 662, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13656 [lua] share_dict.lua:85:  counter: 663, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13657 [lua] share_dict.lua:85:  counter: 664, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13658 [lua] share_dict.lua:85:  counter: 665, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13659 [lua] share_dict.lua:85:  counter: 666, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13660 [lua] share_dict.lua:85:  counter: 667, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13661 [lua] share_dict.lua:85:  counter: 668, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13662 [lua] share_dict.lua:85:  counter: 669, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13663 [lua] share_dict.lua:85:  counter: 670, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13664 [lua] share_dict.lua:85:  counter: 671, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13665 [lua] share_dict.lua:85:  counter: 672, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13666 [lua] share_dict.lua:85:  counter: 673, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13667 [lua] share_dict.lua:85:  counter: 674, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13668 [lua] share_dict.lua:85:  counter: 675, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13669 [lua] share_dict.lua:85:  counter: 676, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13670 [lua] share_dict.lua:85:  counter: 677, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13671 [lua] share_dict.lua:85:  counter: 678, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13672 [lua] share_dict.lua:85:  counter: 679, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13673 [lua] share_dict.lua:85:  counter: 680, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13674 [lua] share_dict.lua:85:  counter: 681, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13675 [lua] share_dict.lua:85:  counter: 682, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13676 [lua] share_dict.lua:85:  counter: 683, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13677 [lua] share_dict.lua:85:  counter: 684, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13678 [lua] share_dict.lua:85:  counter: 685, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13679 [lua] share_dict.lua:85:  counter: 686, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13680 [lua] share_dict.lua:85:  counter: 687, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13681 [lua] share_dict.lua:85:  counter: 688, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13682 [lua] share_dict.lua:85:  counter: 689, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13683 [lua] share_dict.lua:85:  counter: 690, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13684 [lua] share_dict.lua:85:  counter: 691, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13685 [lua] share_dict.lua:85:  counter: 692, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13686 [lua] share_dict.lua:85:  counter: 693, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13687 [lua] share_dict.lua:85:  counter: 694, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13688 [lua] share_dict.lua:85:  counter: 695, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13689 [lua] share_dict.lua:85:  counter: 696, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13690 [lua] share_dict.lua:85:  counter: 697, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13691 [lua] share_dict.lua:85:  counter: 698, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13692 [lua] share_dict.lua:85:  counter: 699, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13693 [lua] share_dict.lua:85:  counter: 700, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13694 [lua] share_dict.lua:85:  counter: 701, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13695 [lua] share_dict.lua:85:  counter: 702, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13696 [lua] share_dict.lua:85:  counter: 703, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13697 [lua] share_dict.lua:85:  counter: 704, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13698 [lua] share_dict.lua:85:  counter: 705, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13699 [lua] share_dict.lua:85:  counter: 706, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13700 [lua] share_dict.lua:85:  counter: 707, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13701 [lua] share_dict.lua:85:  counter: 708, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13702 [lua] share_dict.lua:85:  counter: 709, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13703 [lua] share_dict.lua:85:  counter: 710, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13704 [lua] share_dict.lua:85:  counter: 711, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13705 [lua] share_dict.lua:85:  counter: 712, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13706 [lua] share_dict.lua:85:  counter: 713, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13707 [lua] share_dict.lua:85:  counter: 714, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13708 [lua] share_dict.lua:85:  counter: 715, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13709 [lua] share_dict.lua:85:  counter: 716, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13710 [lua] share_dict.lua:85:  counter: 717, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13711 [lua] share_dict.lua:85:  counter: 718, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13712 [lua] share_dict.lua:85:  counter: 719, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13713 [lua] share_dict.lua:85:  counter: 720, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13714 [lua] share_dict.lua:85:  counter: 721, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13715 [lua] share_dict.lua:85:  counter: 722, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13716 [lua] share_dict.lua:85:  counter: 723, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13717 [lua] share_dict.lua:85:  counter: 724, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13718 [lua] share_dict.lua:85:  counter: 725, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13719 [lua] share_dict.lua:85:  counter: 726, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13720 [lua] share_dict.lua:85:  counter: 727, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13721 [lua] share_dict.lua:85:  counter: 728, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13722 [lua] share_dict.lua:85:  counter: 729, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13723 [lua] share_dict.lua:85:  counter: 730, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65609#0: *13724 [lua] share_dict.lua:85:  counter: 731, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13725 [lua] share_dict.lua:85:  counter: 732, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13726 [lua] share_dict.lua:85:  counter: 733, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13727 [lua] share_dict.lua:85:  counter: 734, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:16 [error] 65610#0: *13728 [lua] share_dict.lua:85:  counter: 735, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:17 [error] 65609#0: *13729 [lua] share_dict.lua:85:  counter: 736, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:17 [error] 65609#0: *13730 [lua] share_dict.lua:85:  counter: 737, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:17 [error] 65610#0: *13731 [lua] share_dict.lua:85:  counter: 738, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:17 [error] 65610#0: *13732 [lua] share_dict.lua:85:  counter: 739, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:17 [error] 65610#0: *13733 [lua] share_dict.lua:85:  counter: 740, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:17 [error] 65610#0: *13734 [lua] share_dict.lua:85:  counter: 741, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:17 [error] 65609#0: *13735 [lua] share_dict.lua:85:  counter: 742, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:17 [error] 65609#0: *13736 [lua] share_dict.lua:85:  counter: 743, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:17 [error] 65610#0: *13737 [lua] share_dict.lua:85:  counter: 744, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:17 [error] 65610#0: *13738 [lua] share_dict.lua:85:  counter: 745, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:17 [error] 65610#0: *13739 [lua] share_dict.lua:85:  counter: 746, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:17 [error] 65610#0: *13740 [lua] share_dict.lua:85:  counter: 747, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:17 [error] 65609#0: *13741 [lua] share_dict.lua:85:  counter: 748, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:17 [error] 65609#0: *13742 [lua] share_dict.lua:85:  counter: 749, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:17 [error] 65610#0: *13743 [lua] share_dict.lua:85:  counter: 750, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
